Protein A (unique pairs!!)	Protein B (unique pairs!!)	Times detected (RIS >0) (Is still like to be able to filter for this. After all we have multi vector transformants that can give stochastic false positives)	uniqueABavgIS (max)	uniqueABsumIS (max)	Avg_RS (raw reads / # screens)	Avg_RIS (raw reads / # screens) => to know if interaction was sampled at all	Found in both orientations (1/0)	H47_avgIS	H47_sumIS	H47_found in both orientations	H47_times detected	Avg_RS (raw reads / # screens) in H47	Avg_RIS (raw reads / # screens) in H47	"Biogrid_all direct evidence (y2h, reconstituted complex, structure)"	Biogrid_all	Hippie	HuRI ?	Protein atlas (nuclear 1/0)	Youn-Gingras_data	Nanobret (pos/neg) unique	Nanobret MBU (mean)	Nanobret MBU std dev (from above)	Jaccard score	Cobinding prob	Cobinding odds ratio	Mean log min distance (bimodal)	Mean log min distance std dev	Meta RNA binding similarity A vs AB KS statistics	Meta RNA binding similarity B vs AB KS statistics
rbm12	rbm10776q	4	1.9	20.35	0.18	56.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm12	rbm10598f	3	1.74	18.82	0.09	19.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm12	rbm10580f	1	1.77	18.75	0	12.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm12	rbm10605f	2	0	17.82	0	7.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
hnrnpf	ddx3x	1	1.73	17.7	0	6	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm12	rbm10408v	2	0	17.58	0	6.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ctbp1	rbm14	10	8.41	17.19	0.27	118.82	1	N/A	N/A	N/A	N/A	N/A	N/A	0	1	0	0			N/A	N/A	N/A							
map4	dcaf13	1	1.9	17.12	0.36	113.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sf3b2	ap2m1	2	1.65	16.95	0.73	85.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sf3b2	apobec3g	2	1.64	16.9	0	127.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
zc3h7b	ehmt2	1	0	16.68	0	23.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
zc3h7b	eef1g	1	0	16.45	0	61.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
fez2	eif4e	3	1.77	16.41	5.82	1463.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm12	rbm10784l	3	0	16.31	0	2.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm12	rbm10354e	2	0	16.19	0	3	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm14	cpsf6	11	13.98	16.03	0.64	301.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ptbp1	ptbp2	8	4.49	15.73	0.36	29.91	1	0	5.47	0	5	1	6.8	0	0	0	0			pos	13.34	0.94							
sf1	ewsr1	3	3.29	15.5	0.09	61.64	0	7.17	11.66	0	3	0	9.8	0	0	1	0			N/A	N/A	N/A							
rbm10354e	rbm10408v	1	0	15.23	0.18	0.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
srsf11	srpk2	10	9.52	14.79	6.18	941.36	1	2.32	5.06	0	5	3.2	10	0	0	0	1			N/A	N/A	N/A							
rbm14	bag4	11	10.89	14.77	1.18	367.64	1	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	ubl5	2	1.69	14.72	1	489.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
hnrnpf	rrp7a	1	1.5	14.67	0.55	66.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
srpk2	ddx50	6	6.86	14.67	0.64	172.18	0	N/A	N/A	N/A	N/A	N/A	N/A	1	1	1	0			N/A	N/A	N/A							
rbm12	rbm10wtv	4	0	14.64	0	4.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
eif4enif1	elavl3	2	1.6	14.63	0.36	296.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	srsf12	4	3.1	14.63	0.55	265.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	eif4e	2	1.71	14.61	1.27	546.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pum2	rbm38	5	1.59	14.48	0.18	14.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
dusp14	rbfox2_orf	9	7.8	14.46	1.91	287.09	0	0	0	0	0	0	0	0	0	0	0			N/A	N/A	N/A							
tacc3	eif4a3	2	3.03	14.39	0.27	188.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	rbm34	2	1.66	14.32	0.45	302.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
u2af1	u2af2	11	10.26	14.24	6.45	1393.82	1	9.07	9.02	1	5	15.4	298.6	1	1	1	1			N/A	N/A	N/A							
cfl1	actb	10	9.08	14.2	1.27	257.64	1	N/A	N/A	N/A	N/A	N/A	N/A	1	1	1	1			N/A	N/A	N/A							
dusp14	ctbp1	3	1.53	14.17	0.09	6.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	txnl4a	1	1.46	14.14	2.91	456.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm14	pspc1	10	8.92	13.98	1.55	210.27	1	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pcbp2	elavl2	2	0	13.97	0	2.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
hnrnpf	kat5	2	1.65	13.97	0	28	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sf1	ctbp1	6	0	13.96	0.09	8.09	0	0	0	0	4	0	2.6	0	0	0	0			N/A	N/A	N/A							
rbpms	prrc2b	7	6.47	13.94	1.73	153.45	1	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pcbp2	ralyl	2	1.68	13.94	0	10.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
nudt21	cpsf6	9	10.33	13.92	0.27	290	0	N/A	N/A	N/A	N/A	N/A	N/A	1	1	1	1			N/A	N/A	N/A							
pcbp2	ptbp2	2	0	13.86	0.09	0.73	0	0	0	0	0	0	0	0	0	0	0			N/A	N/A	N/A							
htatsf1	exosc7	1	1.93	13.86	0	86.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
snrpa	rbm14	11	7.68	13.81	1.36	343.82	1	7.9	7.88	0	5	3	60.4	0	0	0	0			pos	5.62	0.07							
prpf6	mapre3	5	5.44	13.78	1.73	352.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm14	cpsf7	8	7.56	13.75	3.55	837.73	1	8.12	7.92	0	5	0.6	22.6	0	0	0	0			pos	23.91	0.6							
tacc3	dcn	3	1.47	13.75	4.09	477.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
dapk1	eif4enif1	3	1.58	13.74	0.09	151.82	1	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	pdia4	2	1.51	13.73	1.27	229.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pspc1	nono	10	10.85	13.69	0.64	366.91	1	N/A	N/A	N/A	N/A	N/A	N/A	0	0	1	1			N/A	N/A	N/A							
apc_nter	rbm14	8	7.23	13.64	0.27	373.45	0	6.6	7.71	0	5	1.2	17	0	0	0	0			N/A	N/A	N/A							
sf3b2	fxr1	1	0	13.64	0.09	1.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm14	cstf2t	10	11.49	13.63	0.45	168.55	1	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm22	tfip11	6	5.74	13.61	1.36	529.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sf3b4	prpf6	4	1.57	13.56	0	10	0	0	0	0	2	0	0.4	0	0	0	0			N/A	N/A	N/A							
nol8	rbfox2_orf	1	1.49	13.54	0.18	7	0	0	0	0	1	0.8	0.2	0	0	0	0			N/A	N/A	N/A							
zrsr2	srpk2	10	7.83	13.53	18	2238.82	1	5.33	5.34	0	5	5	50	1	1	1	1			N/A	N/A	N/A							
dusp14	tfip11	7	7.63	13.52	0.91	196.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm14	exosc8	6	6.58	13.47	0.55	87	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
eif4enif1	ankhd1	1	1.6	13.47	0	52.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	ahnak	2	1.52	13.45	0.82	217.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	prpf38b	2	1.69	13.44	0.18	150.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
dmrtb1	ctbp1	10	9.45	13.43	1.55	229.18	1	N/A	N/A	N/A	N/A	N/A	N/A	1	1	1	0			N/A	N/A	N/A							
sf3b2	dennd2a	2	1.66	13.43	0	8.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
dusp14	exosc8	4	5.47	13.39	0.18	92.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sf1	dmrtb1	11	9.23	13.39	2.27	513.64	0	6.53	8.21	0	5	4.2	59.2	0	0	0	0			N/A	N/A	N/A							
rbm14	dmrtb1	10	11.79	13.38	3.18	296.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	1	0	0			N/A	N/A	N/A							
nxf1	prrc2b	10	8.41	13.31	0.36	85.82	0	1.73	7.84	0	5	0	7	0	0	0	0			N/A	N/A	N/A							
dusp14	bag4	4	3.92	13.29	1.09	138.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
nxf1	exosc8	6	4.77	13.29	1.09	104.09	0	1.85	7.74	0	4	0	4	0	0	0	0			N/A	N/A	N/A							
hnrnpf	twistnb	1	1.6	13.26	0.09	13.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
nxf1	cpsf6	11	9.71	13.26	0.55	60.09	0	3.21	7.64	0	5	0.2	5.6	0	0	0	0			N/A	N/A	N/A							
pcbp2	rbm47	7	7.14	13.25	0	38.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	srbd1	1	1.44	13.24	3.09	342.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
prpf6	mapre1	2	1.45	13.23	0.27	105.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
eif4enif1	qki	3	2.97	13.19	0	38.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
prpf38a	clk2	5	6.41	13.18	5.36	992.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
srsf11	srek1	11	8.87	13.18	7.55	1282.73	1	9.45	9.54	0	5	9.8	152.2	0	0	0	1			N/A	N/A	N/A							
luc7l2	srrm3	10	9.53	13.15	3.91	647.91	0	7.86	7.86	0	5	28.2	143.2	0	0	0	0			N/A	N/A	N/A							
rbmx	hnrnpk	9	6.89	13.14	0.18	121.91	1	N/A	N/A	N/A	N/A	N/A	N/A	0	0	1	1			N/A	N/A	N/A							
sf1	cpsf6	10	6.45	13.13	0.09	69.36	0	5.6	8.32	0	5	0.2	13.8	0	0	0	0			N/A	N/A	N/A							
dusp14	cpsf6	8	3.71	13.12	0.91	45.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
srsf11	puf60	9	9.86	13.12	2.36	474.73	1	10.12	10.05	0	5	3	45.6	0	0	1	1			N/A	N/A	N/A							
bag4	eif4enif1	3	3.15	13.11	0.18	75.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
dmrtb1	rbfox2_gt	10	5.07	13.1	3.82	68.64	1	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
snrpa	pcbp3	11	9.58	13.09	0.64	267.82	1	5.4	5.3	0	5	2.2	19.6	0	0	0	1			pos	4.54	0.3							
eif4enif1	krt31	1	1.5	13.09	0	16.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbpms	rbm14	8	2.88	13.08	0.55	28.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
cstf2t	ctbp1	8	1.5	13.07	0.09	7.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbfox2_orf	dmrtb1	11	10.28	13.04	1.64	751.36	1	5.36	5.39	0	5	3.4	47.8	0	0	0	0			N/A	N/A	N/A							
prpf6	eif3g	5	5.09	13.02	0.36	105.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
slu7	ppil3	10	5.37	13.02	11.82	3653.73	1	N/A	N/A	N/A	N/A	N/A	N/A	1	1	1	0			N/A	N/A	N/A							
tacc3	mrto4	2	1.6	12.99	0.18	58.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	rbm42	3	1.42	12.94	1.36	369.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbfox2_gt	prrc2b	7	4.52	12.94	0.18	141.91	1	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
eif4enif1	utp18	1	1.48	12.93	1.45	151	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
nxf1	vim	7	7.42	12.93	0.45	63.27	0	1.92	8.41	0	5	0	9.2	0	0	0	0			N/A	N/A	N/A							
eif4enif1	rps6	1	1.68	12.91	0.45	157.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pspc1	ewsr1	4	4.36	12.9	0	38.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	akap8	1	1.53	12.87	0	2.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
dmrtb1	prrc2b	10	3.77	12.85	0	103.55	1	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ythdf1	rbfox2_orf	7	3.85	12.84	0.09	71.64	0	0	0	0	2	0.4	0.6	0	0	0	0			N/A	N/A	N/A							
nxf1	tfip11	9	8.14	12.83	0.09	146.91	0	6.98	8.41	0	5	0.6	30.8	0	0	0	0			N/A	N/A	N/A							
sf3b2	trmt2a	1	1.6	12.83	0	15.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	supt5h	2	1.4	12.81	0.18	41.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ptbp2	rbm10784l	7	3.55	12.81	0.36	211.45	0	5.15	6.13	0	5	3.2	19.2	0	0	0	0			N/A	N/A	N/A							
eif4enif1	rpl19	2	1.79	12.79	0.27	154.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
kif1bx4_cter	calm1	8	3.61	12.79	0.09	24.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm42	rbm14	8	8.25	12.78	0.45	209.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	rpl30	3	1.47	12.77	0.45	49.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	rpl10a	3	3.68	12.77	0	142.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rnmt	fam103a1	5	5.93	12.77	3.09	436.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	1	0	0			N/A	N/A	N/A							
snw1	klc2	5	3.55	12.76	0.27	137.73	0	0.28	0	0	3	11.2	2.4	0	0	0	0			N/A	N/A	N/A							
prpf6	vim	3	3.91	12.75	0.09	76.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
nxf1	sf3b2	9	8.5	12.74	0.09	58.27	0	0	7.18	0	5	1.4	4.4	0	0	0	0			pos	3.08	2.64							
srpk2	prpf38a	9	9.41	12.74	8.73	1306.91	1	N/A	N/A	N/A	N/A	N/A	N/A	0	0	1	0			N/A	N/A	N/A							
eif4enif1	eif2s1	2	1.43	12.73	0.09	74.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
bcas2	eif4enif1	2	1.36	12.73	0	81.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	mrpl1	2	1.43	12.71	0.36	111.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
prpf6	cpsf7	8	8.11	12.67	4.82	603.73	0	0	0	0	0	2	0	0	0	0	0			N/A	N/A	N/A							
rbm14	fip1l1	6	2.64	12.64	0	16.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
dusp14	fubp3	2	0	12.64	0	1.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
snrpa	pnisr	4	2.47	12.62	0	26.73	0	3.43	6.84	0	5	0	7.4	0	0	0	0			N/A	N/A	N/A							
rbfox2_gt	eif4enif1	1	1.38	12.61	0	27.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pef1	prrc2b	6	4.78	12.59	1.73	193.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	pkp2	3	2.69	12.57	0.45	166.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
wbp4	ube2i	4	3.83	12.55	2.27	175.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
cpsf4	fip1l1	11	11.35	12.53	0.45	241.73	0	N/A	N/A	N/A	N/A	N/A	N/A	1	1	1	0			N/A	N/A	N/A							
prpf6	bbs5	8	8.88	12.52	17.18	1371.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
map4	grip1	1	1.29	12.51	0	5.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
htatsf1	rps27l	1	1.34	12.51	0	6.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	rpl26	2	1.52	12.51	0.64	164.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm14	sf3b2	8	3.88	12.5	0	36.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ywhag	peg10	5	3.18	12.47	2.18	467.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
eif4enif1	kpna2	1	1.49	12.44	0	79.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
prpf6	tfip11	5	3.79	12.44	0.09	152.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
unkl	krt31	7	6.75	12.43	4.55	659.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
luc7l	clk2	7	8.2	12.43	5.45	844.36	0	7.49	7.38	0	5	13.6	191.4	0	0	1	0			N/A	N/A	N/A							
clk3	clk2	7	8	12.43	2.73	364.09	0	N/A	N/A	N/A	N/A	N/A	N/A	1	1	1	1			N/A	N/A	N/A							
rbm14	fubp3	3	0	12.41	0	0.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	lsm4	2	1.51	12.4	0.18	96.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm42	hnrnpk	9	6.36	12.4	0.55	154.64	1	N/A	N/A	N/A	N/A	N/A	N/A	0	0	1	0			N/A	N/A	N/A							
pcbp1	srsf3	9	3.44	12.38	0.09	55.82	0	N/A	N/A	N/A	N/A	N/A	N/A	1	1	1	0			N/A	N/A	N/A							
wbp4	sf3b2	6	6.2	12.37	0.91	76.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	slc25a3	3	2.64	12.36	1.27	85.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sf1	krt31	3	3.73	12.36	0.55	94.18	0	7.51	9.22	0	5	1.6	44.4	0	0	0	0			N/A	N/A	N/A							
pcbp2	snrpa	3	2.89	12.35	0	14	0	0	0	0	0	0	0	0	1	0	0			N/A	N/A	N/A							
rps27l	clip4	1	0	12.33	0.09	22.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	gaa	2	2.77	12.33	0.09	53.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
wbp4	cpsf6	7	4.63	12.32	0.27	53.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	1	0	0			N/A	N/A	N/A							
srsf8	clk2	9	6.54	12.31	2.64	740.82	1	N/A	N/A	N/A	N/A	N/A	N/A	0	1	0	0			N/A	N/A	N/A							
rbfox2_orf	rbm38	11	11.6	12.31	2.82	884.55	1	3.92	5.7	0	5	0.6	9.6	0	0	0	0			N/A	N/A	N/A							
pef1	dmrtb1	10	9.63	12.31	2.27	711.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
dusp14	dmrtb1	8	7.26	12.3	0.91	158.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	rpn1	2	1.39	12.29	0.09	104.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
snrpc	rbfox2_gt	7	3.74	12.29	2.36	27.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
htatsf1	snrpe	1	1.73	12.25	0	8.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
prpf6	exosc7	6	4.78	12.25	2.82	728.36	1	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pcbp3	rbm14	3	1.54	12.24	0.18	31.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tsnax	krt31	8	8.91	12.24	2.27	487.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	1			N/A	N/A	N/A							
ptbp1	hnrnpll	5	2.42	12.23	0	22.18	0	1.56	7.34	0	5	0.6	7.8	0	0	0	0			N/A	N/A	N/A							
pcbp3	hnrnpll	6	3.77	12.23	0	23.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
prpf6	fez2	8	7.03	12.22	5.45	516.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	lpar1	2	1.55	12.19	0.36	92.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ddx17	sf1	8	6.67	12.18	2.18	310	0	7.45	7.6	0	5	2	67.6	0	0	1	0			N/A	N/A	N/A							
tacc3	zc3h8	1	1.4	12.16	0.27	74.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
hnrnpk	ipo5	1	1.48	12.16	0.18	3.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ipo5	prrc2b	1	0	12.16	0	0.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	eftud2	2	1.41	12.15	0.09	80.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
dusp14	pspc1	3	2.72	12.15	0.27	38.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tacc3	p4hb	3	1.38	12.14	0.36	137.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sf1	prpf39	1	1.36	12.13	2.45	448.91	0	2.62	5.63	0	5	2	13.8	0	0	0	0			N/A	N/A	N/A							
snw1	uso1	1	1.39	12.12	0	42.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm14	krt31	4	2.28	12.11	0.27	46	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
nxf1	klc2	6	3.89	12.11	0.09	30.36	0	2.86	6.2	0	4	1.2	6	0	0	0	0			neg	1.08	0.49							
prpf6	c1orf35	5	4.91	12.1	3.55	172.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
eif4enif1	kifc2_nter	2	1.46	12.1	0.27	228.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sf1	bag4	11	12.48	12.1	0.55	250.91	1	8.96	8.77	0	5	0.6	36.8	0	0	0	0			N/A	N/A	N/A							
hnrnpk	qk	6	7.07	12.08	0	97.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm38	prrc2b	8	7.61	12.08	1.91	366.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
srpk2	srsf12	8	7.51	12.08	2	298.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	1	0			N/A	N/A	N/A							
